TIME(MS);MAG_X;MIN;MAX;AVG;VAR;ECART;MAG_Y;MIN;MAX;AVG;VAR;ECART;MAG_Z;MIN;MAX;AVG;VAR;ECART
724003;-626;-637;-623;-628,92;7,95;2,819574436;1386;1379;1392;1385,72;10,64;3,261901286;708;692;727;711,44;44,65;6,682065549
730903;-634;-637;-625;-630,58;10,18;3,190611227;1384;1378;1391;1385,63;9,02;3,003331484;746;702;754;719,33;95,91;9,793365101
737804;-635;-637;-624;-631,48;7,44;2,727636339;1385;1382;1393;1386,13;6,14;2,477902339;709;705;736;719,52;60,91;7,80448589
744704;-636;-640;-625;-631,84;9,44;3,072458299;1384;1377;1390;1383,05;7,33;2,707397274;706;704;735;716,64;44,89;6,7
751603;-630;-635;-622;-628,67;9,1;3,016620626;1384;1374;1388;1382,22;9,2;3,033150178;707;691;729;711,34;80,04;8,946507699
758503;-629;-637;-624;-630,59;6,62;2,572936066;1384;1379;1391;1384,11;5,88;2,424871131;715;692;727;709,3;75,11;8,666602564
765404;-631;-639;-626;-631,3;7,21;2,685144316;1385;1378;1392;1384,75;9,06;3,009983389;715;696;724;713,36;50,79;7,126710321
772302;-633;-639;-623;-631,25;7,28;2,698147513;1387;1378;1392;1384,33;9,6;3,098386677;716;702;739;717,5;62,63;7,913911801
779203;-628;-636;-621;-629,28;9,01;3,001666204;1388;1377;1394;1383,95;9,11;3,018277655;720;698;734;713,34;62,04;7,876547467
786104;-633;-635;-624;-629,98;7,27;2,696293753;1382;1377;1391;1383,61;11,99;3,462657939;713;690;722;707,31;48,53;6,96634768
793004;-632;-635;-624;-630,14;7,9;2,810693865;1386;1376;1391;1385,38;9,98;3,1591138;703;683;730;710,05;83,92;9,160785992
799903;-631;-637;-627;-631,69;6,31;2,511971337;1388;1378;1393;1385;10,28;3,206243908;717;695;731;710,22;67,61;8,222530024
806803;-627;-635;-622;-629,7;8,58;2,929163703;1381;1378;1393;1384,05;7,54;2,745906044;703;693;728;712,16;56,91;7,543871685
813704;-624;-637;-624;-630,75;7,78;2,789265136;1389;1380;1390;1386,22;5,33;2,308679276;709;698;735;714,08;62,26;7,890500618
820602;-633;-636;-624;-629,53;7,66;2,767670501;1384;1380;1393;1386,88;7,39;2,718455444;715;692;735;714,28;67,39;8,209141246
827503;-627;-637;-626;-629,63;6,05;2,459674775;1390;1378;1394;1386,66;9,26;3,043024811;711;692;731;714,5;56,72;7,531268154
834402;-627;-637;-622;-628,97;8,53;2,920616373;1389;1380;1394;1387,17;10,08;3,174901573;711;695;725;709,89;51,22;7,156814934
841304;-630;-634;-621;-627,94;7,84;2,8;1384;1378;1398;1383,98;13,7;3,701351105;703;694;728;709,14;54,96;7,413501197
848203;-630;-637;-625;-630,2;8,16;2,856571371;1388;1377;1393;1383,94;8,34;2,887905816;712;688;729;708,66;56,66;7,527283707
855103;-628;-638;-625;-631,92;7,45;2,729468813;1388;1377;1390;1383,53;8,47;2,910326442;700;687;735;711,42;90,09;9,491575212
862004;-628;-636;-624;-630,3;8,18;2,860069929;1381;1376;1390;1383,13;9,95;3,154362059;703;690;722;707,8;49,94;7,066823898
868902;-631;-636;-625;-630,55;7,47;2,733130074;1382;1377;1391;1383,81;8,43;2,903446228;721;695;727;709,28;63,83;7,989367935
875803;-627;-637;-622;-629,47;10,19;3,19217794;1388;1378;1393;1385,69;8,96;2,993325909;715;696;726;711,36;37,29;6,106553856
882703;-632;-636;-625;-630,84;7,69;2,773084925;1379;1377;1396;1384,38;15,52;3,939543121;719;694;721;709,88;48,23;6,944782214
889604;-631;-637;-626;-631,47;5,66;2,379075451;1382;1376;1389;1383,61;7,71;2,776688675;707;683;730;707,09;62,9;7,930952024
896503;-629;-639;-625;-631,34;7,01;2,647640459;1383;1377;1392;1385,13;10,67;3,266496594;705;689;720;707,13;50,52;7,107742258
903403;-635;-640;-626;-632,23;7,18;2,679552201;1385;1377;1392;1385,55;8,72;2,952964612;716;685;727;708,83;60,05;7,749193506
910304;-626;-636;-624;-629,67;7,53;2,744084547;1387;1381;1392;1386,36;7,04;2,653299832;721;689;730;708,36;86,07;9,277391875
917202;-626;-634;-624;-628,84;6,44;2,537715508;1386;1380;1392;1384,69;7,84;2,8;709;688;725;708,03;64,09;8,005623024
924103;-632;-637;-621;-630,11;7,57;2,751363298;1387;1376;1392;1384,06;12,03;3,468429039;708;681;726;706,45;67,72;8,229216245
931003;-632;-640;-628;-634,28;9,26;3,043024811;1371;1371;1394;1383,38;9,98;3,1591138;712;690;731;709,95;62,08;7,879086241
937904;-623;-636;-623;-629,97;7,16;2,675817632;1387;1377;1392;1383,25;8,69;2,947880595;708;694;731;709,16;44,04;6,636264009
944802;-633;-637;-621;-629,86;12,31;3,508560959;1382;1378;1390;1383,34;8,85;2,974894956;715;691;739;709,94;73,87;8,594765849
951702;-630;-638;-622;-630,42;8,96;2,993325909;1382;1377;1389;1382,5;8,28;2,877498914;718;692;724;707,11;58,94;7,677239087
958603;-623;-637;-623;-629,23;8,52;2,918903904;1379;1373;1388;1380,97;12,41;3,522782991;705;697;730;712,5;57,69;7,595393341
965502;-632;-635;-622;-628,77;8,27;2,875760769;1384;1378;1391;1383,27;7,79;2,791057147;715;698;733;713,55;61,59;7,847929663
972403;-633;-636;-625;-630,09;5,02;2,24053565;1385;1374;1388;1382,02;8,83;2,971531592;704;696;730;711,86;49,34;7,024243732
979303;-629;-636;-620;-628,22;9,55;3,090307428;1384;1377;1390;1382,84;9,19;3,031501278;692;689;731;708,72;64,7;8,043631021
986204;-632;-637;-620;-627,2;9,57;3,09354166;1388;1378;1390;1383,48;8,22;2,867054237;703;685;727;708,58;61,31;7,830070242
993102;-638;-638;-623;-629,34;8,85;2,974894956;1387;1382;1394;1387,3;6,43;2,535744467;704;691;727;707,89;54,82;7,404052944
1000003;-632;-635;-622;-629,41;7,3;2,701851217;1383;1378;1389;1383,14;6,65;2,578759392;716;692;721;705,36;49,98;7,069653457
1006904;-632;-640;-626;-630,92;7,7;2,774887385;1384;1378;1390;1383,42;7,03;2,651414717;723;683;725;706,78;78,64;8,867919711
